"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"4545","4335.259491","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","4410","[TCP segment of a reassembled PDU]"
"4546","4335.259500","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","7306","[TCP segment of a reassembled PDU]"
"4547","4335.259510","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","8754","[TCP segment of a reassembled PDU]"
"4548","4335.259613","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","13098","[TCP segment of a reassembled PDU]"
"4549","4335.259718","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3069761 Win=279760 Len=0 TSval=6336022 TSecr=1924755"
"4550","4335.261687","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4551","4335.261730","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3087137 Win=298592 Len=0 TSval=6336023 TSecr=1924756"
"4552","4335.261756","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4553","4335.261768","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","5858","[TCP segment of a reassembled PDU]"
"4554","4335.261775","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","4410","[TCP segment of a reassembled PDU]"
"4555","4335.261781","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","4410","[TCP segment of a reassembled PDU]"
"4556","4335.261995","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","18890","[TCP segment of a reassembled PDU]"
"4557","4335.262042","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4558","4335.262162","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3152297 Win=262752 Len=0 TSval=6336023 TSecr=1924756"
"4559","4335.263753","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4560","4335.263776","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3168225 Win=299328 Len=0 TSval=6336023 TSecr=1924757"
"4561","4335.263797","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4562","4335.263803","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","1514","[TCP segment of a reassembled PDU]"
"4563","4335.263914","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","20338","[TCP segment of a reassembled PDU]"
"4564","4335.264043","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3200081 Win=281760 Len=0 TSval=6336023 TSecr=1924757"
"4565","4335.266176","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4566","4335.266184","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3216009 Win=299328 Len=0 TSval=6336024 TSecr=1924757"
"4567","4335.266205","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4568","4335.266220","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4569","4335.266239","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4570","4335.266382","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","20338","[TCP segment of a reassembled PDU]"
"4571","4335.266499","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3279721 Win=265280 Len=0 TSval=6336024 TSecr=1924757"
"4572","4335.268513","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4573","4335.268521","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3295649 Win=299328 Len=0 TSval=6336024 TSecr=1924758"
"4574","4335.268531","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","2962","[TCP segment of a reassembled PDU]"
"4575","4335.268545","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4576","4335.268572","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","23234","[TCP segment of a reassembled PDU]"
"4577","4335.268591","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4578","4335.268768","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3341985 Win=273968 Len=0 TSval=6336024 TSecr=1924758"
"4579","4335.268796","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","5858","[TCP segment of a reassembled PDU]"
"4580","4335.268877","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3347777 Win=279040 Len=0 TSval=6336024 TSecr=1924758"
"4581","4335.270819","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","14546","[TCP segment of a reassembled PDU]"
"4582","4335.270826","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3362257 Win=300048 Len=0 TSval=6336025 TSecr=1924758"
"4583","4335.270845","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4584","4335.270863","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","13098","[TCP segment of a reassembled PDU]"
"4585","4335.270891","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","20338","[TCP segment of a reassembled PDU]"
"4586","4335.271068","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3407145 Win=275968 Len=0 TSval=6336025 TSecr=1924758"
"4587","4335.271672","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","13098","[TCP segment of a reassembled PDU]"
"4588","4335.271723","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3420177 Win=290096 Len=0 TSval=6336025 TSecr=1924759"
"4589","4335.271739","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","8754","[TCP segment of a reassembled PDU]"
"4590","4335.271954","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3428865 Win=285200 Len=0 TSval=6336025 TSecr=1924759"
"4591","4335.272448","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","7306","[TCP segment of a reassembled PDU]"
"4592","4335.272455","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3436105 Win=303664 Len=0 TSval=6336025 TSecr=1924759"
"4593","4335.272861","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","2962","[TCP segment of a reassembled PDU]"
"4594","4335.272889","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4595","4335.273124","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3456377 Win=296608 Len=0 TSval=6336025 TSecr=1924759"
"4596","4335.274519","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","14546","[TCP segment of a reassembled PDU]"
"4597","4335.274534","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3470857 Win=300048 Len=0 TSval=6336026 TSecr=1924760"
"4598","4335.274565","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4599","4335.274583","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4600","4335.274624","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4601","4335.274820","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3514297 Win=276688 Len=0 TSval=6336026 TSecr=1924760"
"4602","4335.275641","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","18890","[TCP segment of a reassembled PDU]"
"4603","4335.275649","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3533121 Win=297872 Len=0 TSval=6336026 TSecr=1924760"
"4604","4335.275670","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","14546","[TCP segment of a reassembled PDU]"
"4605","4335.275778","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3547601 Win=290096 Len=0 TSval=6336026 TSecr=1924760"
"4606","4335.276368","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","10202","[TCP segment of a reassembled PDU]"
"4607","4335.276375","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3557737 Win=302224 Len=0 TSval=6336026 TSecr=1924760"
